Time_point_1,Time_point_2
-0.7995,1.0018
1.0099,-4.1086
3.2986,1.6017
-4.5997,-5.0043
3.4326,-4.2815
-1.9461,3.1231
-6.2347,1.6007
-1.1419,1.4384
1.4977,-1.175
-3.3336,0.3875
-0.5896,-2.4726
1.1004,0.0682
-1.4325,-0.497
-1.7369,3.6
-2.8912,2.3735
0.4676,1.2265
-1.0788,-3.5171
0.3559,-1.7515
-1.7827,-1.9632
-1.5316,0.2311
5.9134,-1.7783
-1.5314,2.653
1.2852,3.1136
-1.7639,0.6514
1.2021,1.7013
-3.4994,-1.2636
-0.0308,-0.008
3.0315,4.0519
1.2766,-5.4005
2.5853,3.7261
-0.8055,5.3412
2.7418,-1.8232
4.5764,-6.6989
1.3004,3.2086
-1.6844,0.827
-1.178,-4.5738
-1.3055,2.0332
1.6852,2.8264
-0.0171,-2.0116
-2.958,3.9732
0.4345,-2.1542
2.7246,0.0815
-0.6877,2.0142
6.3747,1.9577
1.0763,0.3264
-1.2915,4.166
-3.5617,-1.6336
-2.6549,-0.8997
-0.1711,-0.7771
3.4142,3.893
3.1072,3.2283
-0.7585,-4.2035
3.1035,-0.7217
3.252,4.1794
2.9446,1.8294
3.4954,1.1167
-2.0046,-0.7453
1.5331,1.1369
1.6213,0.7838
-0.2553,1.0025
-3.0891,-2.001
3.2343,1.8866
-2.1991,-1.9324
-3.6309,2.2042
-0.3726,1.7358
-3.8867,3.0077
3.9268,-3.5435
0.8481,-1.5097
2.163,0.0839
0.0098,4.5589
0.9958,2.7135
-3.5907,1.5435
0.1301,2.9736
3.2586,-2.1876
3.2207,0.8531
-0.3796,3.4593
1.6795,-6.1069
-3.7662,0.9218
0.0386,0.7936
5.9968,4.1444
-1.8153,-0.0109
2.1933,0.558
3.737,1.3033
1.05,1.5371
-0.2551,0.4049
-2.1325,2.5845
4.3126,1.9809
-3.335,4.053
0.8729,-1.7995
-0.5803,-1.9995
-1.3808,7.3578
1.9852,-4.4601
0.2922,1.1501
0.7596,1.8597
0.1955,3.0656
-1.7555,-0.0652
-0.0759,4.8678
0.005,2.833
1.4426,4.6606
1.3148,3.2593
3.3449,1.1802
-0.35,-3.9385
5.112,4.3642
0.2847,1.4325
3.8418,-3.5872
-4.2009,1.3878
6.2441,-6.0147
1.3867,-3.6316
0.6018,1.4264
-1.4923,2.5507
2.9062,1.3878
2.6574,0.4623
2.7558,-1.1698
3.6808,0.9338
-5.8297,-0.2921
1.3427,2.0887
-0.393,-0.5629
1.1825,4.6222
2.0945,1.7709
-5.4031,-0.6714
1.9312,2.8948
-0.1385,-0.7625
-1.5535,2.9155
0.2815,7.4054
-1.9674,-3.0086
1.2695,4.5159
0.9227,-2.2705
3.2108,0.547
-0.2952,-3.4055
-1.9623,4.6878
-1.1743,-0.9004
1.9199,0.4179
-1.4919,6.3788
0.3701,-0.0777
1.5917,-1.3365
4.6317,2.5597
0.0894,6.2796
0.8349,0.0309
-3.6751,2.1758
2.287,-0.4559
-4.2847,-2.4315
2.5385,3.3636
0.6195,-3.0866
1.2538,0.488
-4.3195,6.4519
-0.0803,6.8371
2.7307,2.1514
-1.3605,-6.5524
1.2671,-2.4463
-3.3867,-1.2409
-1.6041,0.7314
-5.4642,-0.8935
-0.8478,-0.8685
-4.0439,3.4971
0.3779,3.1826
5.62,5.6632
-0.8088,5.1182
-5.8068,-1.0087
-0.2575,3.4894
-2.3203,6.1866
0.8662,1.7805
0.239,-0.4855
3.7103,0.0808
-6.6047,0.8356
4.0648,2.4035
0.2627,3.6974
-0.136,-1.6895
-3.7987,5.9045
0.3032,4.3181
1.2787,0.4215
0.1264,1.0218
-1.0702,-3.982
-5.0849,0.7565
6.3463,2.012
3.4599,0.3042
5.1594,-3.4899
-1.8404,1.8596
-1.3661,-2.663
2.0166,2.2952
0.7189,-5.0396
-3.1973,3.9622
-1.5838,-1.8967
3.1741,-0.5249
7.4429,0.0979
-1.7276,2.2682
-0.3709,-0.052
-1.7557,0.1416
2.7723,1.6164
-3.5047,3.2429
-1.1666,-0.3373
-1.1955,-1.7643
-1.7205,3.2863
-5.2351,-1.7805
3.2633,-0.4068
-1.5278,-0.6034
2.1579,-0.4356
-2.663,0.2462
-0.3018,0.385
4.55,3.225
-0.6255,-2.9254
-3.9302,4.9663
6.1697,0.098
4.5397,-4.6823
-0.3403,0.0932
0.8156,0.3018
-0.4033,-0.662
-4.6534,-1.9542
0.1379,-0.3993
-0.5196,4.9354
7.5558,0.8474
-5.2509,1.9401
-4.1688,-0.3516
-1.8447,0.0406
-3.7233,4.1098
1.1893,0.6508
2.4655,-3.0924
-0.7071,3.4036
2.1542,-1.0975
-2.9042,0.2341
-3.9106,0.0888
-8.5693,3.8637
8.4009,0.1026
0.1473,1.8393
-2.3082,-4.4337
5.7169,3.0361
4.9555,0.0985
1.7933,2.9797
-7.9709,2.9299
0.8196,3.3402
3.4649,-1.5347
1.1525,4.5804
2.4575,4.3681
4.3558,-2.6327
-2.9393,0.4946
-2.8168,2.0137
-0.8776,4.1344
-0.5277,-5.2897
-2.3218,5.6258
-1.8658,-2.1177
-1.3493,0.4275
-2.7544,-3.3694
4.8044,0.4505
-7.5678,-2.3119
1.1101,3.0248
0.2587,-2.3947
-0.0035,5.1844
-1.4101,-3.8682
-2.3041,1.7401
-0.242,3.4672
2.0242,3.4455
